#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome dot","NC_048535.1",419726,427779,"+",117902973,"LOC117902973","-","XP_034670525.1",1062,"protein cup"
"chromosome dot","NC_048535.1",430685,435304,"-",117902975,"LOC117902975","-","XP_034670526.1",976,"metabotropic glutamate receptor"
"chromosome dot","NC_048535.1",441413,460789,"+",117902972,"LOC117902972","-","XP_034670521.1",1954,"eukaryotic translation initiation factor 4 gamma 3 isoform X1"
"chromosome dot","NC_048535.1",441413,460789,"+",117902972,"LOC117902972","-","XP_034670522.1",1954,"eukaryotic translation initiation factor 4 gamma 3 isoform X1"
"chromosome dot","NC_048535.1",441413,460789,"+",117902972,"LOC117902972","-","XP_034670523.1",1954,"eukaryotic translation initiation factor 4 gamma 3 isoform X1"
"chromosome dot","NC_048535.1",441413,460789,"+",117902972,"LOC117902972","-","XP_034670524.1",1712,"eukaryotic translation initiation factor 4 gamma 3 isoform X2"
"chromosome dot","NC_048535.1",466202,504167,"+",117902979,"LOC117902979","-","XP_034670541.1",3054,"uncharacterized protein LOC117902979 isoform X4"
"chromosome dot","NC_048535.1",466202,504167,"+",117902979,"LOC117902979","-","XP_034670542.1",3051,"uncharacterized protein LOC117902979 isoform X5"
"chromosome dot","NC_048535.1",466202,504167,"+",117902979,"LOC117902979","-","XP_034670543.1",3051,"uncharacterized protein LOC117902979 isoform X6"
"chromosome dot","NC_048535.1",466202,504167,"+",117902979,"LOC117902979","-","XP_034670546.1",3035,"uncharacterized protein LOC117902979 isoform X8"
"chromosome dot","NC_048535.1",466202,504167,"+",117902979,"LOC117902979","-","XP_034670547.1",2966,"uncharacterized protein LOC117902979 isoform X9"
"chromosome dot","NC_048535.1",466202,504167,"+",117902979,"LOC117902979","-","XP_034670545.1",3037,"uncharacterized protein LOC117902979 isoform X7"
"chromosome dot","NC_048535.1",480208,504167,"+",117902979,"LOC117902979","-","XP_034670538.1",3328,"uncharacterized protein LOC117902979 isoform X1"
"chromosome dot","NC_048535.1",480208,504167,"+",117902979,"LOC117902979","-","XP_034670539.1",3328,"uncharacterized protein LOC117902979 isoform X2"
"chromosome dot","NC_048535.1",480208,504167,"+",117902979,"LOC117902979","-","XP_034670540.1",3325,"uncharacterized protein LOC117902979 isoform X3"
"chromosome dot","NC_048535.1",480208,496110,"+",117902979,"LOC117902979","-","XP_034670548.1",2363,"uncharacterized protein LOC117902979 isoform X10"
"chromosome dot","NC_048535.1",480208,495903,"+",117902979,"LOC117902979","-","XP_034670550.1",2281,"uncharacterized protein LOC117902979 isoform X12"
"chromosome dot","NC_048535.1",480208,492542,"+",117902979,"LOC117902979","-","XP_034670549.1",2307,"uncharacterized protein LOC117902979 isoform X11"
"chromosome dot","NC_048535.1",480208,491310,"+",117902979,"LOC117902979","-","XP_034670551.1",2279,"uncharacterized protein LOC117902979 isoform X13"
"chromosome dot","NC_048535.1",507742,517480,"+",117902909,"LOC117902909","-","XP_034670360.1",1601,"GIGYF family protein CG11148"
"chromosome dot","NC_048535.1",532732,534501,"+",117902910,"LOC117902910","-","XP_034670361.1",589,"forkhead box protein K2"
"chromosome dot","NC_048535.1",542316,592515,"+",117902978,"LOC117902978","-","XP_034670536.1",940,"uncharacterized protein LOC117902978 isoform X1"
"chromosome dot","NC_048535.1",590437,592515,"+",117902978,"LOC117902978","-","XP_034670537.1",602,"transcription factor Sox-5 isoform X2"
"chromosome dot","NC_048535.1",600167,605763,"+",117902977,"LOC117902977","-","XP_034670535.1",1602,"mediator of RNA polymerase II transcription subunit 26"
"chromosome dot","NC_048535.1",610693,661628,"-",117902976,"LOC117902976","-","XP_034670534.1",8391,"twitchin isoform X7"
"chromosome dot","NC_048535.1",610693,661628,"-",117902976,"LOC117902976","-","XP_034670529.1",9005,"twitchin isoform X3"
"chromosome dot","NC_048535.1",610693,661628,"-",117902976,"LOC117902976","-","XP_034670528.1",9016,"twitchin isoform X2"
"chromosome dot","NC_048535.1",610693,661628,"-",117902976,"LOC117902976","-","XP_034670532.1",8417,"twitchin isoform X5"
"chromosome dot","NC_048535.1",610693,661628,"-",117902976,"LOC117902976","-","XP_034670531.1",8998,"twitchin isoform X4"
"chromosome dot","NC_048535.1",610693,661628,"-",117902976,"LOC117902976","-","XP_034670527.1",9017,"twitchin isoform X1"
"chromosome dot","NC_048535.1",610693,661628,"-",117902976,"LOC117902976","-","XP_034670533.1",8611,"twitchin isoform X6"
"chromosome dot","NC_048535.1",667179,687163,"-",117902944,"LOC117902944","-","XP_034670447.1",912,"paired box protein Pax-6 isoform X2"
"chromosome dot","NC_048535.1",667179,685189,"-",117902944,"LOC117902944","-","XP_034670446.1",912,"paired box protein Pax-6 isoform X1"
"chromosome dot","NC_048535.1",708837,712311,"+",117902946,"LOC117902946","-","XP_034670451.1",642,"uncharacterized protein LOC117902946 isoform X1"
"chromosome dot","NC_048535.1",710100,712311,"+",117902946,"LOC117902946","-","XP_034670452.1",629,"uncharacterized protein LOC117902946 isoform X2"
"chromosome dot","NC_048535.1",710100,712311,"+",117902946,"LOC117902946","-","XP_034670453.1",629,"uncharacterized protein LOC117902946 isoform X2"
"chromosome dot","NC_048535.1",713413,716626,"+",117902940,"LOC117902940","-","XP_034670438.1",809,"slo-interacting protein 1 isoform X1"
"chromosome dot","NC_048535.1",713413,716626,"+",117902940,"LOC117902940","-","XP_034670439.1",790,"slo-interacting protein 1 isoform X2"
"chromosome dot","NC_048535.1",713413,716626,"+",117902940,"LOC117902940","-","XP_034670440.1",731,"slo-interacting protein 1 isoform X3"
"chromosome dot","NC_048535.1",722682,725081,"+",117902947,"LOC117902947","-","XP_034670454.1",637,"RNA-binding protein MEX3B isoform X1"
"chromosome dot","NC_048535.1",722682,725081,"+",117902947,"LOC117902947","-","XP_034670455.1",637,"RNA-binding protein MEX3B isoform X1"
"chromosome dot","NC_048535.1",722682,725081,"+",117902947,"LOC117902947","-","XP_034670456.1",637,"RNA-binding protein MEX3B isoform X1"
"chromosome dot","NC_048535.1",722682,725081,"+",117902947,"LOC117902947","-","XP_034670457.1",637,"RNA-binding protein MEX3B isoform X1"
"chromosome dot","NC_048535.1",722682,725081,"+",117902947,"LOC117902947","-","XP_034670458.1",616,"RNA-binding protein MEX3B isoform X2"
"chromosome dot","NC_048535.1",732424,736524,"+",117902934,"LOC117902934","-","XP_034670428.1",294,"uncharacterized protein LOC117902934 isoform X1"
"chromosome dot","NC_048535.1",735685,736524,"+",117902934,"LOC117902934","-","XP_034670429.1",279,"uncharacterized protein LOC117902934 isoform X2"
"chromosome dot","NC_048535.1",737075,739559,"-",117902933,"LOC117902933","-","XP_034670427.1",762,"uncharacterized protein LOC117902933"
"chromosome dot","NC_048535.1",744180,747720,"-",117902948,"LOC117902948","-","XP_034670461.1",634,"sodium- and chloride-dependent GABA transporter 1 isoform X2"
"chromosome dot","NC_048535.1",744180,747720,"-",117902948,"LOC117902948","-","XP_034670460.1",635,"sodium- and chloride-dependent GABA transporter 1 isoform X1"
"chromosome dot","NC_048535.1",749388,758371,"-",117903001,"LOC117903001","-","XP_034670626.1",1177,"glutamate receptor ionotropic, kainate 2 isoform X3"
"chromosome dot","NC_048535.1",749388,758371,"-",117903001,"LOC117903001","-","XP_034670625.1",1209,"glutamate receptor ionotropic, kainate 2 isoform X2"
"chromosome dot","NC_048535.1",749388,758371,"-",117903001,"LOC117903001","-","XP_034670624.1",1211,"glutamate receptor ionotropic, kainate 2 isoform X1"
"chromosome dot","NC_048535.1",749388,757448,"-",117903001,"LOC117903001","-","XP_034670627.1",1035,"glutamate receptor ionotropic, kainate 2 isoform X4"
"chromosome dot","NC_048535.1",762429,772871,"-",117903000,"LOC117903000","-","XP_034670623.1",1398,"protein Gawky isoform X4"
"chromosome dot","NC_048535.1",762429,772871,"-",117903000,"LOC117903000","-","XP_034670622.1",1401,"protein Gawky isoform X3"
"chromosome dot","NC_048535.1",762429,772871,"-",117903000,"LOC117903000","-","XP_034670620.1",1416,"protein Gawky isoform X2"
"chromosome dot","NC_048535.1",762429,772871,"-",117903000,"LOC117903000","-","XP_034670619.1",1419,"protein Gawky isoform X1"
"chromosome dot","NC_048535.1",778410,787461,"-",117902954,"LOC117902954","-","XP_034670479.1",1089,"ephrin type-B receptor 1-B isoform X3"
"chromosome dot","NC_048535.1",778410,787461,"-",117902954,"LOC117902954","-","XP_034670472.1",1105,"ephrin type-B receptor 1-B isoform X1"
"chromosome dot","NC_048535.1",778410,787461,"-",117902954,"LOC117902954","-","XP_034670473.1",1105,"ephrin type-B receptor 1-B isoform X1"
"chromosome dot","NC_048535.1",778410,787461,"-",117902954,"LOC117902954","-","XP_034670474.1",1105,"ephrin type-B receptor 1-B isoform X1"
"chromosome dot","NC_048535.1",778410,787461,"-",117902954,"LOC117902954","-","XP_034670475.1",1105,"ephrin type-B receptor 1-B isoform X1"
"chromosome dot","NC_048535.1",778410,787461,"-",117902954,"LOC117902954","-","XP_034670476.1",1095,"ephrin type-B receptor 1-B isoform X2"
"chromosome dot","NC_048535.1",780348,787461,"-",117902954,"LOC117902954","-","XP_034670480.1",757,"ephrin type-B receptor 1 isoform X4"
"chromosome dot","NC_048535.1",792924,796326,"+",117902955,"LOC117902955","-","XP_034670481.1",416,"calcium/calmodulin-dependent protein kinase type 1 isoform X1"
"chromosome dot","NC_048535.1",792924,796326,"+",117902955,"LOC117902955","-","XP_034670482.1",416,"calcium/calmodulin-dependent protein kinase type 1 isoform X1"
"chromosome dot","NC_048535.1",792924,796326,"+",117902955,"LOC117902955","-","XP_034670483.1",401,"calcium/calmodulin-dependent protein kinase type 1 isoform X2"
"chromosome dot","NC_048535.1",799116,805069,"-",117902952,"LOC117902952","-","XP_034670468.1",1519,"uncharacterized protein LOC117902952 isoform X3"
"chromosome dot","NC_048535.1",799116,805069,"-",117902952,"LOC117902952","-","XP_034670465.1",1522,"uncharacterized protein LOC117902952 isoform X1"
"chromosome dot","NC_048535.1",799116,805069,"-",117902952,"LOC117902952","-","XP_034670466.1",1521,"uncharacterized protein LOC117902952 isoform X2"
"chromosome dot","NC_048535.1",813914,814955,"+",117902956,"LOC117902956","-","XP_034670484.1",257,"uncharacterized protein LOC117902956"
"chromosome dot","NC_048535.1",813914,814955,"+",117902956,"LOC117902956","-","XP_034670485.1",257,"uncharacterized protein LOC117902956"
"chromosome dot","NC_048535.1",815900,826807,"-",117902953,"LOC117902953","-","XP_034670470.1",1397,"tau-tubulin kinase homolog Asator isoform X2"
"chromosome dot","NC_048535.1",815900,826807,"-",117902953,"LOC117902953","-","XP_034670471.1",1394,"tau-tubulin kinase homolog Asator isoform X3"
"chromosome dot","NC_048535.1",815900,826807,"-",117902953,"LOC117902953","-","XP_034670469.1",1495,"tau-tubulin kinase homolog Asator isoform X1"
"chromosome dot","NC_048535.1",873910,892256,"+",117902914,"LOC117902914","-","XP_034670375.1",3109,"zinc finger protein 2 isoform X2"
"chromosome dot","NC_048535.1",873910,892245,"+",117902914,"LOC117902914","-","XP_034670378.1",2904,"zinc finger protein 2 isoform X4"
"chromosome dot","NC_048535.1",873910,890817,"+",117902914,"LOC117902914","-","XP_034670374.1",3121,"zinc finger protein 2 isoform X1"
"chromosome dot","NC_048535.1",873910,890817,"+",117902914,"LOC117902914","-","XP_034670377.1",3099,"zinc finger protein 2 isoform X3"
"chromosome dot","NC_048535.1",873910,889484,"+",117902914,"LOC117902914","-","XP_034670379.1",2903,"zinc finger protein 2 isoform X5"
"chromosome dot","NC_048535.1",901362,906979,"-",117902901,"LOC117902901","-","XP_034670348.1",1726,"LOW QUALITY PROTEIN: uncharacterized protein LOC117902901"
"chromosome dot","NC_048535.1",911431,917376,"+",117902931,"LOC117902931","-","XP_034670419.1",280,"transcriptional activator protein Pur-alpha isoform X1"
"chromosome dot","NC_048535.1",911431,917376,"+",117902931,"LOC117902931","-","XP_034670420.1",280,"transcriptional activator protein Pur-alpha isoform X1"
"chromosome dot","NC_048535.1",911431,917376,"+",117902931,"LOC117902931","-","XP_034670421.1",275,"transcriptional activator protein Pur-beta isoform X2"
"chromosome dot","NC_048535.1",911431,916583,"+",117902931,"LOC117902931","-","XP_034670424.1",216,"transcriptional activator protein Pur-beta isoform X4"
"chromosome dot","NC_048535.1",911567,917376,"+",117902931,"LOC117902931","-","XP_034670423.1",259,"transcriptional activator protein Pur-beta isoform X3"
"chromosome dot","NC_048535.1",919092,920847,"-",117902930,"LOC117902930","-","XP_034670418.1",473,"NADH-ubiquinone oxidoreductase 49 kDa subunit"
"chromosome dot","NC_048535.1",925633,931249,"+",117902920,"LOC117902920","-","XP_034670385.1",689,"uncharacterized protein LOC117902920 isoform X1"
"chromosome dot","NC_048535.1",925633,931249,"+",117902920,"LOC117902920","-","XP_034670386.1",689,"uncharacterized protein LOC117902920 isoform X1"
"chromosome dot","NC_048535.1",925633,931249,"+",117902920,"LOC117902920","-","XP_034670387.1",689,"uncharacterized protein LOC117902920 isoform X1"
"chromosome dot","NC_048535.1",925633,931249,"+",117902920,"LOC117902920","-","XP_034670388.1",689,"uncharacterized protein LOC117902920 isoform X1"
"chromosome dot","NC_048535.1",925633,931249,"+",117902920,"LOC117902920","-","XP_034670390.1",687,"uncharacterized protein LOC117902920 isoform X2"
"chromosome dot","NC_048535.1",936353,941889,"+",117902921,"LOC117902921","-","XP_034670391.1",618,"43 kDa receptor-associated protein of the synapse homolog"
"chromosome dot","NC_048535.1",936353,941889,"+",117902921,"LOC117902921","-","XP_034670392.1",618,"43 kDa receptor-associated protein of the synapse homolog"
"chromosome dot","NC_048535.1",936353,941889,"+",117902921,"LOC117902921","-","XP_034670393.1",618,"43 kDa receptor-associated protein of the synapse homolog"
"chromosome dot","NC_048535.1",944048,947302,"+",117902941,"LOC117902941","-","XP_034670441.1",1037,"homeobox protein onecut"
"chromosome dot","NC_048535.1",955347,961158,"+",117902926,"LOC117902926","-","XP_034670399.1",1533,"protein BCL9 homolog isoform X1"
"chromosome dot","NC_048535.1",955347,961158,"+",117902926,"LOC117902926","-","XP_034670400.1",1531,"protein BCL9 homolog isoform X2"
"chromosome dot","NC_048535.1",1017349,1033669,"+",117902985,"LOC117902985","-","XP_034670574.1",1118,"uncharacterized protein LOC117902985 isoform X1"
"chromosome dot","NC_048535.1",1017349,1033669,"+",117902985,"LOC117902985","-","XP_034670575.1",1108,"uncharacterized protein LOC117902985 isoform X2"
"chromosome dot","NC_048535.1",1020454,1033669,"+",117902985,"LOC117902985","-","XP_034670576.1",796,"zinc finger protein 646 isoform X3"
"chromosome dot","NC_048535.1",1020454,1033669,"+",117902985,"LOC117902985","-","XP_034670577.1",788,"zinc finger protein 646 isoform X4"
"chromosome dot","NC_048535.1",1034627,1043104,"-",117902981,"LOC117902981","-","XP_034670555.1",1611,"host cell factor isoform X2"
"chromosome dot","NC_048535.1",1034627,1043104,"-",117902981,"LOC117902981","-","XP_034670552.1",1613,"host cell factor isoform X1"
"chromosome dot","NC_048535.1",1034627,1043104,"-",117902981,"LOC117902981","-","XP_034670553.1",1613,"host cell factor isoform X1"
"chromosome dot","NC_048535.1",1054065,1076955,"+",117902983,"LOC117902983","-","XP_034670567.1",1216,"plasma membrane calcium-transporting ATPase 2 isoform X5"
"chromosome dot","NC_048535.1",1054065,1076955,"+",117902983,"LOC117902983","-","XP_034670570.1",1193,"plasma membrane calcium-transporting ATPase 2 isoform X8"
"chromosome dot","NC_048535.1",1054065,1076955,"+",117902983,"LOC117902983","-","XP_034670568.1",1212,"plasma membrane calcium-transporting ATPase 2 isoform X6"
"chromosome dot","NC_048535.1",1054065,1076955,"+",117902983,"LOC117902983","-","XP_034670571.1",1189,"plasma membrane calcium-transporting ATPase 2 isoform X9"
"chromosome dot","NC_048535.1",1054065,1076955,"+",117902983,"LOC117902983","-","XP_034670569.1",1198,"plasma membrane calcium-transporting ATPase 2 isoform X7"
"chromosome dot","NC_048535.1",1054065,1073976,"+",117902983,"LOC117902983","-","XP_034670561.1",1270,"plasma membrane calcium-transporting ATPase 2 isoform X1"
"chromosome dot","NC_048535.1",1054065,1073976,"+",117902983,"LOC117902983","-","XP_034670562.1",1270,"plasma membrane calcium-transporting ATPase 2 isoform X1"
"chromosome dot","NC_048535.1",1054065,1073976,"+",117902983,"LOC117902983","-","XP_034670565.1",1266,"plasma membrane calcium-transporting ATPase 2 isoform X3"
